"","sample_name_fanny","sample","mice","date_expe","Active GLP-1","FGF21","IL-10","IL-1β","IL-6","Insulin","Leptin","MCP-1","RANTES","TNF-α","AGE","AGE_MONTHS","REMAINTIME","PRED","BW","BT","FAT","FINKCALs","GLY","P1","P3","Dim.1","STATUS"
"47","23-0510To","23_2019-10-04",23,2019-10-04,0.368042012265798,449.792671426816,14.2413215869691,4.80860957601124,62.9004899359765,"318.69356151429855","3308.0509391869964",48.334714582329,21.4236842714429,13.17735819747,311,10.1,125,"under31",37,36.5,7.482,6.84495,140,12.426,7.87,0.393516612642285,"NS"
"48","24-0510To","24_2019-10-04",24,2019-10-04,0.345394210597321,849.84807926949,8.71333747597486,7.56170736387958,19.1061444023462,"215.49383609596302","2031.0168044472878",46.8731614759703,19.3519194666748,22.4300122430767,311,10.1,45,"under31",37.3,36,8.286,11.55294,146,10.341,6.481,1.05805633199664,"NS"
"49","26-0510To","26_2019-10-04",26,2019-10-04,0.380151176517835,786.517547104839,59.6167571570687,8.00344383833545,13.1967444552799,"196.77182644443596","1429.221199977191",40.6319108044628,21.4427647713804,16.3971615447118,311,10.1,105,"under31",28.4,35.9,4.961,10.61802,154,10.538,8.295,-0.117382654745721,"NS"
"50","28-0510To","28_2019-10-04",28,2019-10-04,0.472475764765041,343.020585777216,218.60590851687,55.5489475888179,81.1843562942171,"166.5952819529372","1451.1069735456986",96.359206497,39.0195523826756,40.9961289758408,311,10.1,60,"under31",28.3,36.5,5.233,11.04096,137,10.664,6.698,-0.164449943674831,"NS"
"51","30-0510To","30_2019-10-04",30,2019-10-04,0.311295250125297,207.740007376729,6.01304785330421,16.861871346064,14.3849114413389,"211.71641221199457","1830.5818998943369",35.0482815102097,19.7407834478009,15.1508700021875,311,10.1,45,"under31",34.5,36,9.607,16.52805,159,11.046,8.522,1.79556301842296,"NS"
"52","31-0510To","31_2019-10-04",31,2019-10-04,0.653621143470027,425.835888518613,7.94040833749867,25.413073567,59.8911400303908,"277.43021069562718","4091.4249655216945",82.3220620748096,18.220988257816,16.5571275960101,304,10.1,153,"under31",39.5,36,8.785,11.63085,152,9.062,7.593,1.41676974826538,"NS"
"53","32-0510To","32_2019-10-04",32,2019-10-04,0.830449122413794,544.05066318514,14.8537705808264,5.70658429762325,11.4747642713112,"425.03149369327792","5252.1196083014047",63.8020612643861,19.164268739502,17.2029723506118,304,10.1,60,"under31",41.2,35.8,12.589,12.08718,149,11.062,6.9,2.05017702566389,"NS"
"54","33-0510To","33_2019-10-04",33,2019-10-04,0.757474993900956,522.8768674213,6.10577795141442,6.44750301656523,12.5861874875298,"286.79152714544637","3398.6572555985645",49.335645818997,30.1532157571315,15.3878032255477,304,10.1,107,"under31",26.9,36.6,10.544,13.63425,161,10.628,7.876,1.25813843876354,"NS"
"55","34-0510To","34_2019-10-04",34,2019-10-04,0.500039814965291,122.582337683531,161.230610189405,11.9070711317624,217.470885124296,"NA","19.086708895119969",67.2119727782241,38.3338825399366,215.638087984309,304,10.1,13,"above31",26.9,34.5,1.069,0,89,41.924,40.076,-4.08064423785896,"S"
"56","37-0510To","37_2019-10-04",37,2019-10-04,2.65376341431577,27183.5161304135,170.241113110383,2.35963103418159,28.958581078303,"70.958487088984313","438.28643213580125",42.4562266147608,88.9806862869673,121.378460994486,304,10.1,16,"above31",35.3,35.3,0.554,1.41351,92,162.61,28.611,-4.34549199993972,"S"
"57","39-0510To","39_2019-10-04",39,2019-10-04,0.861722723533581,579.964393834452,9.20403525534549,8.47176850461328,10.929099819447,"189.65500761958438","1771.1205211187605",68.8276400850772,17.1774946380342,13.2734380350797,304,10.1,160,"under31",29.9,38.1,5.984,13.42278,140,8.367,7.179,0.825829582914411,"NS"
"58","41-0510To","41_2019-10-04",41,2019-10-04,0.453727922213077,330.028844673713,6.86932203169535,21.6234233680804,19.7547250074207,"243.43960078380761","2569.557776441733",38.1301092687288,15.1524375903157,14.0538481909596,304,10.1,60,"under31",33,37.6,6.322,10.61802,145,9.027,7.167,0.750890246083448,"NS"
"59","42-0510To","42_2019-10-04",42,2019-10-04,1.89603203339951,10579.9269933239,36.8496773629167,16.072679866271,141.857056004882,"183.47127583501049","716.14789233536499",96.2608775274205,96.1204502348795,183.855804975799,304,10.1,18,"above31",26.9,34.5,0.924,0,85,70.466,52.267,-4.58198429036775,"S"
"60","44-0510To","44_2019-10-04",44,2019-10-04,2.08542088438998,204.778860654001,43.1634166798217,23.668340496643,180.28816391218,"NA","NA",47.5858974323284,28.2197389111521,542.754759404154,304,10.1,8,"above31",30.9,34.2,NA,0,47,49.683,67.28,-4.70187912747114,"S"
"61","45-0510To","45_2019-10-04",45,2019-10-04,0.53871317676256,461.026527151241,6.37332794215548,22.2398680089225,25.0624787122999,"226.35602203602889","2125.5372843276405",58.7397237044076,19.6163805722885,16.7752977512521,304,10.1,160,"under31",30.8,36.4,7.053,15.94929,138,8.723,7.034,0.843903650933526,"NS"
"62","23-1612","23_2019-12-16",23,2019-12-16,0.172929914824289,1192.89290852854,12.4992176640875,7.2279098238604,1.13187061278949,"192.18621753245301","471.67639599128398",19.472858949714,17.5910198790483,5.31889240261437,384,12.5,52,"under31",31.6,37,7.86,NA,130,12.075,6.441,0.497995701091194,"NS"
"63","26-1612","26_2019-12-16",26,2019-12-16,0.341314070591829,363.214592742473,54.4719351556002,30.4373099567275,75.6991585693675,"109.150608137478","413.409089803021",33.4251302058011,36.6269351724189,12.1726713444918,384,12.5,32,"under31",27,38.3,3.88,NA,125,12.28,6.644,-0.318697770833977,"NS"
"64","31-1612","31_2019-12-16",31,2019-12-16,0.41482665916651,335.952850008986,9.86438321869399,20.320348572305,50.5548435235584,"222.44359087668099","1853.8334053040501",53.6242148076027,16.7825249422056,13.5613889864451,377,12.5,80,"under31",39.4,37.3,12.6,NA,137,10.729,6.558,2.37746459968793,"NS"
"65","33-1612","33_2019-12-16",33,2019-12-16,0.702543291545015,529.918130338104,11.1028943595483,5.05241613947894,31.4888356432108,"208.72581927820301","1099.9256560091701",26.315131779346,18.5212892060335,7.55261279136465,377,12.5,34,"under31",36,37.8,9.16,NA,144,12.267,8.755,1.73103382966761,"NS"
"66","36-1612","36_2019-12-16",36,2019-12-16,24.0180360860141,64725.4498867658,105.786824636379,17.4849554473656,126.53074366196,"72.550880371287803","595.28422029534499",34.558891454468,417.864581107409,40.4280145679615,377,12.5,17,"above31",30.6,33.8,1.33,NA,102,22.789,20.115,-2.90579277022763,"S"
"67","39-1612","39_2019-12-16",39,2019-12-16,0.513617879869374,1067.00879977985,72.3524319294708,24.7189202770875,29.344967767272,"203.891747288212","242.12770703970401",80.5182553606315,27.3619505174806,48.0223639916931,377,12.5,87,"under31",26,38.1,3.02,NA,108,10.02,11.8,-1.05170771340267,"NS"
"68","45-1612","45_2019-12-16",45,2019-12-16,0.222385212531199,350.108484330542,14.8501574034814,8.50270693082526,14.1409710842905,"153.657754504514","444.95726817332297",45.0512097307442,17.5466753199953,11.8549316396662,377,12.5,87,"under31",28.5,37.9,3.55,NA,116,13.185,6.997,-0.623405798789049,"NS"
