"","mice_name","date_expe","mice","AGE","AGE_MONTHS","REMAINTIME","PRED","BW","BT","FAT","FINKCALs","GLY","P1","P3","Dim.1","STATUS","P5","sample_name_vero"
"63","C57_M_24",2021-10-18,24,1003,32.9,34,"under31",29.5,36.1,NA,7.8469788915,124,NA,NA,-1.61628653294394,"NS",NA,NA
"64","C57_M_25",2021-06-15,25,878,28.8,30,"above31",32.66,35,5.12,NA,165,NA,NA,0.666497045666969,"NS",31.364,NA
"65","C57_M_26",2021-10-05,26,990,32.5,35,"under31",32.7,35.1,NA,NA,137,NA,NA,-0.499726139541669,"NS",NA,NA
"66","C57_M_27",2021-05-18,27,850,27.9,84,"under31",32.08,35.7,3.76,NA,124,NA,NA,-1.04924909389014,"NS",29.583,NA
"67","C57_M_29",2021-07-28,29,921,30.2,30,"above31",30.52,36.2,4.28,NA,169,NA,NA,0.932910311998776,"NS",NA,NA
"68","C57_M_3",2021-05-04,3,836,27.4,37,"under31",31.6,35.2,4.76,8.782548327,137,NA,NA,-0.505117373383945,"NS",24.089,NA
"69","C57_M_31",2021-06-15,31,878,28.8,40,"under31",31.04,35.7,4.69,NA,159,NA,NA,0.547314128346147,"NS",43.47,NA
"70","C57_M_33",2021-09-07,33,962,31.5,33,"under31",34.7,36.7,NA,NA,136,NA,NA,0.229719810280655,"NS",NA,NA
"71","C57_M_34",2021-09-23,34,978,32.1,27,"above31",34.6,36.8,NA,7.435361997,150,NA,NA,0.445962804720342,"NS",NA,NA
"72","C57_M_35",2021-07-13,35,906,29.7,31,"above31",34.98,36.7,4.64,NA,166,NA,NA,1.50135792509798,"NS",NA,NA
"73","C57_M_43",2021-03-11,43,782,25.6,29,"above31",31.2,35.7,2.66,NA,125,NA,NA,1.33771507782559,"NS",207.998,NA
"74","C57_M_44",2021-03-11,44,782,25.6,40,"under31",30.3,34.2,3.29,NA,137,NA,NA,-1.46429078716383,"NS",33.235,NA
"75","C57_M_5",2021-09-07,5,962,31.5,41,"under31",32.6,36.1,NA,NA,150,NA,NA,0.395279134008928,"NS",NA,NA
"76","C57_M_6",2021-10-05,6,990,32.5,55,"under31",30.9,36.1,NA,NA,137,NA,NA,-0.563856600834759,"NS",NA,NA
"77","C57_M_9",2021-06-30,9,893,29.3,30,"above31",33.3,35.1,3.73,9.37822704,102,NA,NA,-1.40488292353467,"NS",NA,NA
"78","AKRJ_F_10",2019-07-30,10,252,8,15,"above31",18.4,29,0.939,0,73,7.301,13.79,-5.8813652045984,"S",NA,NA
"79","AKRJ_F_11",2019-07-04,11,226,7.2,20,"above31",24.3,35.5,1.254,0,68,11.052,10.666,-3.77781728165926,"S",NA,NA
"80","AKRJ_F_15",2019-07-30,15,252,8,27,"above31",33,30.3,3.459,0.016695,116,11.257,24.366,-3.4381128856654,"S",NA,NA
"81","AKRJ_F_16",2019-12-16,16,384,12.5,0,"above31",22,30.8,NA,NA,20,NA,NA,-8.57096450639199,"S",NA,NA
"82","AKRJ_F_17",2019-09-17,17,294,9.5,13,"above31",21.4,35.3,NA,NA,119,NA,8.318,-2.67741989822183,"S",NA,NA
"83","AKRJ_F_18",2019-10-31,18,338,11,13,"above31",34.3,37.4,0.99,0,136,23.792,NA,-1.42604375767094,"S",NA,NA
"84","AKRJ_F_2",2019-08-14,2,267,8.5,20,"above31",27,35.9,NA,NA,105,NA,7.333,-2.14657582642789,"S",NA,NA
"85","AKRJ_F_20",2019-09-03,20,280,9.2,23,"above31",38.2,38.2,6.619,NA,123,226.791,7.767,-1.89875071825035,"S",NA,NA
"86","AKRJ_F_21",2019-03-01,21,94,3.1,153,"under31",25.7,NA,NA,NA,124,8.884,6.803,-1.26037832573301,"S",NA,NA
"87","AKRJ_F_23",2020-01-30,23,429,14,7,"above31",21.8,33.8,1.44,NA,82,47.872,12.437,-4.41948992719735,"S",NA,NA
"88","AKRJ_F_24",2019-10-31,24,338,11,18,"above31",30.2,34.6,1.152,1.71402,89,248.829,71.428,-6.12438870673445,"S",NA,NA
"89","AKRJ_F_25",2019-09-03,25,280,9.2,12,"above31",25.4,34.7,1.033,0,94,9.932,44.095,-3.73908833105569,"S",NA,NA
"90","AKRJ_F_26",2019-11-18,26,356,11.6,60,"under31",25.7,38.3,NA,NA,117,NA,8.908,-1.13766591437058,"S",NA,NA
"91","AKRJ_F_29",2019-08-14,29,260,8.5,23,"above31",28.8,35.8,NA,NA,109,NA,15.436,-1.8340484203957,"S",NA,NA
"92","AKRJ_F_30",2019-10-22,30,329,10.7,27,"above31",34.3,30,NA,NA,139,NA,6.791,-1.44839256865633,"S",NA,NA
"93","AKRJ_F_31",2020-02-19,31,442,14.5,15,"above31",29,35.4,1.78,NA,90,378.643,298.904,-9.68795373081835,"S",NA,NA
"94","AKRJ_F_32",2019-12-03,32,364,12,0,"above31",29.2,34.9,NA,NA,73,NA,NA,-3.73596680526868,"S",NA,NA
"95","AKRJ_F_33",2020-01-08,33,400,13.2,11,"above31",26.6,34.2,1.35,NA,90,14.151,14.252,-3.22728413779,"S",NA,NA
"96","AKRJ_F_37",2019-09-17,37,287,9.5,33,"under31",28.2,35,NA,NA,73,NA,14.765,-3.62654045556592,"S",NA,NA
"97","AKRJ_F_39",2019-11-18,39,349,11.6,115,"under31",26.2,38.1,NA,NA,106,NA,7.302,-1.54391137487929,"S",NA,NA
"98","AKRJ_F_40",2019-07-04,40,212,7.2,64,"under31",30.4,38.3,7.729,15.63765,154,13.922,451.428,-1.91236403332168,"S",NA,NA
"99","AKRJ_F_41",2019-11-18,41,349,11.6,15,"above31",29,37.2,NA,NA,83,NA,10.381,-2.34769169512617,"S",NA,NA
"100","AKRJ_F_43",2019-07-04,43,212,7.2,11,"above31",31.6,34.5,2.331,7.31241,102,10.012,9.907,-1.92442600566948,"S",NA,NA
"101","AKRJ_F_45",2020-01-08,45,400,13.2,64,"under31",24.3,34.5,1.19,NA,119,10.745,9.817,-2.58370196425899,"S",NA,NA
"102","AKRJ_F_46",2019-09-03,46,273,9.2,27,"above31",34.6,36.3,1.893,1.38012,116,9.256,6.178,-1.65552601595934,"S",NA,NA
"103","AKRJ_F_5",2019-07-30,5,252,8,15,"above31",27.1,35.3,0.94,0,91,13.887,16.82,-3.34732204828913,"S",NA,NA
"104","AKRJ_F_8",2019-08-14,8,267,8.5,12,"above31",29,32.5,NA,NA,91,NA,22.499,-3.65599368591396,"S",NA,NA
"105","C57_F_10",2022-07-07,10,1008,33,11,"above60",22.31,36.2,0.404,10.48446,105,NA,NA,-2.51237612917526,"S",52.423,NA
"106","C57_F_12",2022-09-23,12,1086,35.6,26,"above60",23.64,35,1.144,5.826555,98,NA,NA,-3.68807090096053,"S",29.115,NA
"107","C57_F_14",2022-09-23,14,1086,35.6,4,"above60",22.46,34.4,0.702,NA,113,NA,NA,-3.17073653655944,"S",79.247,NA
"108","C57_F_16",2022-07-25,16,1026,33.6,0,"above60",26.25,33,0.245,3.12753,NA,NA,NA,-4.76129153262142,"S",NA,NA
"109","C57_F_17",2022-03-29,17,908,29.8,7,"above60",33.56,29.7,0,10.15056,135,NA,NA,-3.23414564959038,"S",102.35,NA
"110","C57_F_18",2022-02-01,18,852,27.9,34,"above60",22.48,36.6,1.145,8.40315,140,NA,NA,-2.03547082941423,"S",20.042,NA
"111","C57_F_20",2022-03-08,20,887,29.1,157,"under60",23.66,37.7,0.738,6.060285,102,NA,NA,-2.58440385272354,"S",43.606,NA
"112","C57_F_21",2021-11-23,21,782,25.6,55,"above60",21.75,36,2.09,9.77214,133,NA,NA,-2.02808426994465,"S",43.569,NA
"113","C57_F_22",2022-09-23,22,1086,35.6,15,"above60",23.56,36.4,1.572,6.026895,119,NA,NA,-2.49469093620733,"S",99.885,NA
"114","C57_F_26",2021-11-03,26,762,25,21,"above60",29.5,36.3,0.366,NA,88,NA,NA,-2.35230457221896,"S",23.862,NA
"115","C57_F_28",2022-04-22,28,932,30.6,42,"above60",25.81,36,1.75,6.31071,120,NA,NA,-2.41711230367605,"S",67.36,NA
"116","C57_F_3",2021-12-14,3,803,26.3,13,"above60",32.86,36.2,0,10.000305,65,NA,NA,-2.32969485146026,"S",49.348,NA
